"ID","year","gid","forest","natural_lands","agriculture","pasture","mosaic","UF","Status","Start_period","End_period","AFOLU","REDD_type","Project_begin","Treatment"
"1094",2008,2553309.66666667,0.939574510536622,0.00144835740374961,0,0.0589771320596288,0,"PA","Registered",2003-01-01,NA,"REDD","AUD",2003-01-01,1
"1094",2009,2553309.66666667,0.923918696723602,0.00126551325456086,0,0.0748157900218374,0,"PA","Registered",2003-01-01,NA,"REDD","AUD",2003-01-01,1
"1094",2010,2553309.66666667,0.928023894203767,0.0110308038262188,0,0.0609453019700145,0,"PA","Registered",2003-01-01,NA,"REDD","AUD",2003-01-01,1
"1094",2011,2553309.66666667,0.946423428992923,0.0247825087045382,0,0.0287940623025383,0,"PA","Registered",2003-01-01,NA,"REDD","AUD",2003-01-01,1
"1094",2012,2553309.66666667,0.97008862106038,0.0297937295847138,0,0.000117649354906004,0,"PA","Registered",2003-01-01,NA,"REDD","AUD",2003-01-01,1
"1094",2013,2553309.66666667,0.971135115386108,0.024779349205732,0,0.00408553540816044,0,"PA","Registered",2003-01-01,NA,"REDD","AUD",2003-01-01,1
"1094",2014,2553309.66666667,0.949546962453339,0.0219388077439988,0,0.0285142298026621,0,"PA","Registered",2003-01-01,NA,"REDD","AUD",2003-01-01,1
"1094",2015,2553309.66666667,0.936906473460961,0.0145867512319378,0,0.048506775307101,0,"PA","Registered",2003-01-01,NA,"REDD","AUD",2003-01-01,1
"1094",2016,2553309.66666667,0.954186533927409,0.0106699824724458,0,0.0351434836001453,0,"PA","Registered",2003-01-01,NA,"REDD","AUD",2003-01-01,1
"1094",2017,2553309.66666667,0.956525363813705,0.0131767918025942,0,0.030297844383701,0,"PA","Registered",2003-01-01,NA,"REDD","AUD",2003-01-01,1
"1094",2018,2553309.66666667,0.95703252543488,0.0285768538272345,0,0.0143906207378859,0,"PA","Registered",2003-01-01,NA,"REDD","AUD",2003-01-01,1
"1094",2019,2553309.66666667,0.962198272265084,0.023839091035216,0,0.0139626366996997,0,"PA","Registered",2003-01-01,NA,"REDD","AUD",2003-01-01,1
"1094",2020,2553309.66666667,0.963233155376279,0.0239611029958817,0,0.0128057416278394,0,"PA","Registered",2003-01-01,NA,"REDD","AUD",2003-01-01,1
"1094",2021,2553309.66666667,0.969415458852293,0.0235908670841693,0,0.0069936740635375,0,"PA","Registered",2003-01-01,NA,"REDD","AUD",2003-01-01,1
"1113",2008,837572.941176471,0.992583024381789,0,0,0.007416975618211,0,"AC","Registered",NA,NA,"REDD","AUD",2011-03-19,1
"1113",2009,837572.941176471,0.993396617432978,0,0,0.00660338256702239,0,"AC","Registered",NA,NA,"REDD","AUD",2011-03-19,1
"1113",2010,837572.941176471,0.994212722403312,0,0,0.00578727759668809,0,"AC","Registered",NA,NA,"REDD","AUD",2011-03-19,1
"1113",2011,837572.941176471,0.994612480762917,0,0,0.00538751923708344,0,"AC","Registered",NA,NA,"REDD","AUD",2011-03-19,1
"1113",2012,837572.941176471,0.994419539706981,0,0,0.00558046029301936,0,"AC","Registered",NA,NA,"REDD","AUD",2011-03-19,1
"1113",2013,837572.941176471,0.994320319655302,0,0,0.00567968034469823,0,"AC","Registered",NA,NA,"REDD","AUD",2011-03-19,1
"1113",2014,837572.941176471,0.993760313934495,0,0,0.00623968606550458,0,"AC","Registered",NA,NA,"REDD","AUD",2011-03-19,1
