"","gid","year","forest","natural_lands","agriculture","pasture","mosaic"
"1",6390997,2008,0.332747238625498,0.00563691648557513,0.0275797854124186,0.579448575203066,0.0545874842734419
"2",6392125,2008,0.0341439903313365,0.0695613874191315,0.401474635072389,0.491612793449872,0.00320719372727049
"3",6392092,2008,0.0243542270300997,0.0737484002747345,0.185541732354662,0.68593139672891,0.030424243611593
"4",6392094,2008,0.0072700072646386,0.00561906339773788,0.188877545348867,0.778452344259097,0.019781039729659
"5",5798603,2008,1,0,0,0,0
"6",6201019,2008,1,0,0,0,0
"7",6391746,2008,0.424836403780419,0.048406965324633,0.372221192684328,0.0877647642782809,0.0667706739323391
"8",6391196,2008,0.00151722999068423,1.51314776143951e-06,0.998113701051451,0.000367555810103132,0
"9",5798744,2008,0.886249095844326,0.060297362580483,0.00201352926646152,0.0320720936981446,0.0193679186105846
"10",5703716,2008,0.0564385656284966,0.0139340642517425,0,0.921557962541513,0.00806940757824794
"11",4884888,2008,0.0881848386148312,0.911815161385169,0,0,0
"12",5706363,2008,0.28345968525251,0.0024789844863772,0.000424968769093234,0.671714031708328,0.0419223297836912
"13",5994106,2008,0.922074669500055,0.00955178735463237,0,0.0683735431453122,0
"14",5691102,2008,0.152034392279486,0.0555843718006225,0.000104178128785339,0.773214172866963,0.0190628849241429
"15",5770517,2008,0.0102036939601491,0,0.623609909818905,0.339133740256416,0.0270526559645299
"16",5993976,2008,0.615322289082981,0.384677710917019,0,0,0
"17",5735214,2008,0.233056176684529,0.0467883547948692,0.658597659912866,0.0195003734763619,0.042057435131374
"18",5804831,2008,0.201490588231769,0.16902115495739,0.497166482148107,0.0487309551145938,0.0835908195481403
"19",5994593,2008,0.0492799943585404,0.95072000564146,0,0,0
"20",5750009,2008,0.1335189181531,0.0279662164621272,0,0.836256398408994,0.00225846697577812
"21",5804870,2008,0.044030586385787,0.0249231697439071,0.87265185172107,0.0168429440165674,0.0415514481326681
"22",6242483,2008,0.215790158747115,0.0312222350804013,5.82034433560209e-05,0.74040170712667,0.0125276956024581
"23",6242362,2008,0.0721856370276637,0.000599151116758327,0.87521552111283,0.0112733410291587,0.0407263497135888
"24",6242619,2008,0.133936749552211,0.0360813774822987,0.67318056059971,0.0463067366214667,0.110494575744314
"25",6242365,2008,0.0344415630366027,0.000531452005243648,0.928846618223434,0.00871699472129963,0.0274633720134205
"26",6364987,2008,0.00770424488161827,0.020341136570237,0,0.967312238907088,0.00464237964105665
"27",5805112,2008,0.0286706709377216,0.0468362426142142,0,0.919975906929705,0.00451717951835963
"28",5805104,2008,0.1647033017633,0.022904424961888,0,0.797536846786609,0.0148554264882024
"29",6242617,2008,0.108915361190706,0.0484224295876172,0.00607936361876796,0.743239873791296,0.0933429718116128
"30",6390192,2008,0.1257351062342,0.025176648886459,0,0.794318349212857,0.0547698956664844
"31",5828481,2008,0.0344163363915361,0.000935068080446482,0.00434080683868653,0.954088904634684,0.00621888405464665
"32",5828477,2008,0.100519453329784,0.0460802656038403,0.0014356769423656,0.812937689023637,0.0390269151003733
"33",6404723,2008,0.0580478347094901,0,0,0.890542352921959,0.051409812368551
"34",6404692,2008,0.256646913268637,0.0267509900578663,0.01937186858428,0.680423692032903,0.0168065360563138
"35",6030793,2008,0,0,0.683947956507743,0.313993262742687,0.0020587807495698
"36",5828498,2008,0.199720663349827,0.00734857698475961,7.84029727044626e-07,0.790269544207736,0.00266043142795023
"37",4778407,2008,0.607354486597604,0.392645513402396,0,0,0
"38",6030795,2008,0.0757056714879911,0.00497821045630928,0.352877017054602,0.52602741773957,0.040411683261528
"39",1107156,2008,0.669435373267862,0.330564626732138,0,0,0
"40",6394504,2008,0,0,0,1,0
"41",5689178,2008,0,0.202376165434833,0,0.772580641353382,0.0250431932117848
"42",5994427,2008,0.661436547681243,0.240158430193089,0,0.0984050221256681,0
"43",6404810,2008,0.147654674744427,0.014596745856955,0.196437248425615,0.566862653553905,0.0744486774190977
"44",6241283,2008,0.110931486603095,0.0898450786605946,0,0.773055547846484,0.0261678868898271
"45",6241139,2008,0.0171243407515338,0.00482984448054482,0,0.950785747981305,0.0272600667866165
"46",6240930,2008,0.166374070671279,0.0278807506815597,0,0.777790993127214,0.0279541855199469
"47",6242442,2008,0.0240890298073922,0.0945493168916074,0,0.857698959247844,0.023662694053156
"48",6394523,2008,0.000113743938511013,0.0128417423093157,0,0.987044513752173,0
"49",5708363,2008,0.147963347819841,0.0129581753381496,0.000191859326336181,0.830830590812835,0.00805602670283796
"50",5707368,2008,0.167888976886898,0.0290713283645941,0.0245307984687511,0.722387376483013,0.056121519796743
"51",5718532,2008,0.0281281103862423,0.158005139971333,0.67028871891496,0.0892763252621902,0.0543017054652746
