id_registry,year,Total_natural_formation,Forest_pctg,Non_Forest_Natural_pctg,Farming_pctg,Water_pctg,Not_Observed_pctg,start,certification_date,state,project_name,area_ha,Non_vegetated_area_pctg,id_landtenure,nm_class,desc_class,nm_subclass,desc_subclass,nm_size,desc_size,cd_mun,nm_mun,cd_uf,id_bioma,bioma
1382,2000,99.98118673172884,99.98118673172884,0,0.0188132682711339,0,0,2012-08-02,2015-04-06,AC,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",39301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1382,2001,99.98249711129915,99.98249711129915,0,0.01750288870084366,0,0,2012-08-02,2015-04-06,AC,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",39301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1382,2002,99.98064934183552,99.98064934183552,0,0.01935065816445491,0,0,2012-08-02,2015-04-06,AC,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",39301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1382,2003,99.98087309209164,99.98087309209164,0,0.01912690790836209,0,0,2012-08-02,2015-04-06,AC,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",39301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1382,2004,99.98227174378226,99.98227174378226,0,0.01772825621772698,0,0,2012-08-02,2015-04-06,AC,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",39301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1382,2005,99.9824067045994,99.9824067045994,0,0.01759329540057816,0,0,2012-08-02,2015-04-06,AC,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",39301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1382,2006,99.9825958101835,99.9825958101835,0,0.01740418981650262,0,0,2012-08-02,2015-04-06,AC,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",39301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1382,2007,99.9847979869846,99.9847979869846,0,0.0152020130154021,0,0,2012-08-02,2015-04-06,AC,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",39301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1382,2008,99.98433460714564,99.98433460714564,0,0.01566539285437622,0,0,2012-08-02,2015-04-06,AC,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",39301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1382,2009,99.981517643356,99.981517643356,0,0.01848235664400774,0,0,2012-08-02,2015-04-06,AC,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",39301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1382,2010,99.97812163492094,99.97812163492094,0,0.02187836507907492,0,0,2012-08-02,2015-04-06,AC,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",39301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1382,2011,99.97399233514854,99.97399233514854,0,0.02600766485146653,0,0,2012-08-02,2015-04-06,AC,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",39301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1382,2012,99.95781385235796,99.95781385235796,0,0.04218614764203855,0,0,2012-08-02,2015-04-06,AC,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",39301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
