id_registry,year,Forest,Non_Forest_Natural,Farming,Non_vegetated_area,Water,Not_Observed
832,2000,3530962.210490746,3817.4128023319845,394767.5456645091,0,20967.187927780127,0
832,2001,3524363.708509721,3977.965600165675,401709.78698296903,0,20462.895792511677,0
832,2002,3516427.520948374,3838.7763535782196,409421.3041790228,0,20826.75540439171,0
832,2003,3492727.805894416,3511.577789047733,433559.4254490262,0,20715.54775287715,0
832,2004,3451868.16242407,3695.6554517758777,473933.65140766645,0,21016.887601855597,0
832,2005,3399426.451637705,3940.8614258276066,526657.3600232315,0,20489.683798603168,0
832,2006,3383409.380091848,3954.224948225543,542647.9520582819,0,20502.799787011732,0
832,2007,3371436.249340677,3639.028753148392,554328.614937485,0,21110.463854056587,0
832,2008,3363133.7816773956,3611.843460617587,562164.865775341,0,21602.865972013016,1
832,2009,3354997.791261257,3732.776220485488,569989.1670089427,0,21793.62239468156,1
832,2010,3350870.6195489457,3199.0653744861484,574727.0610809262,0,21716.610881008943,1
832,2011,3355874.57569676,3352.318549454212,569920.1622728735,0,21367.300366279473,0
832,2012,3359636.6868857085,3006.864778250456,566718.3592152136,0,21152.446006194492,0
832,2013,3360096.27916837,3198.488441165304,566447.705443763,0,20771.883832067982,0
832,2014,3362568.729822136,3262.8187596683856,563709.2241949596,0,20973.58410860299,0
832,2015,3361565.2912092516,3138.5589995179325,565416.6765203523,0,20393.830156245072,0
832,2016,3363939.369310968,3650.987176798284,562969.1238394378,0,19953.876558163007,1
832,2017,3363733.6327164294,3992.220672123134,562679.5252028994,0,20107.978293915083,1
832,2018,3358741.260790931,4084.1286943927407,567275.235615941,0,20412.73178410231,1
832,2019,3350884.5165407513,4425.355888729915,574622.2863375897,0,20581.198118296255,1
832,2020,3342251.7744037416,4374.159163538134,583541.6489920453,0,20346.774326042076,0
832,2021,3307983.9897760954,4954.702256591758,617790.2015168464,0,19785.463335833316,0
832,2022,3304092.634581903,3911.5106186119374,625274.84644931,0,17235.365235542216,0
875,2000,1782157.0721984627,2540.7178569734097,40943.36343916052,0,17457.4787969226,0
875,2001,1769373.2153183809,2481.7178569734097,53755.664333135945,0,17488.034783028997,0
875,2002,1722775.0846645106,2546.7178569734097,100309.86664919376,0,17466.96312084142,0
875,2003,1670565.205958359,2567.7178569734097,152469.95223668969,0,17495.756239497103,0
875,2004,1587897.8884783399,2570.7178569734097,235365.34501692548,0,17264.680939280428,0
875,2005,1522816.8259817248,2676.6010548770428,300387.8373198922,0,17217.367935025133,0
875,2006,1453011.9641206253,2595.6010548770428,370027.483591528,0,17463.583524488844,0
875,2007,1396635.755257773,2608.7178569734097,426380.2626480286,0,17473.89652874414,0
875,2008,1374341.375382428,2761.4846747517586,448760.70080458623,0,17235.071429752745,0
875,2009,1370810.4272674725,2668.09714448452,452323.0364498094,0,17297.071429752745,0
875,2010,1364520.9513071647,2618.6010548770428,458510.07823531126,0,17449.0016941661,0
875,2011,1350457.8453194562,2687.6010548770428,472645.14757629606,0,17308.03834088985,0
875,2012,1336212.6721743697,2680.1053872406483,486838.01242345053,0,17367.84230645839,0
875,2013,1317440.155629561,2712.7178569734097,505693.0880976165,0,17252.670707368292,0
875,2014,1295974.0136484886,2668.629145115614,527151.4728832161,0,17304.516614698805,0
