id_registry,year,Forest Formation,Floodable Forest (beta),Wetland,Grassland,"River, Lake and Ocean",Pasture,Forest Plantation,Mining,Savanna Formation,Rocky Outcrop,Other Temporary Crops,Not_Observed,Urban Area,Palm Oil (beta),Mangrove,"Beach, Dune and Sand Spot",Hypersaline Tidal Flat,Sugar cane,Mosaic of Uses,Other non Vegetated Areas,Soybean
832,2000,302579.5146853306,0,0,13.44468716531992,15.636768260282224,4542.557314422698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,2001,305408.3785543112,0,0,13.44468716531992,15.636768260282224,1713.6934454421084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,2002,305651.30610841565,0,0.295347535982728,13.44468716531992,16.85394189624185,1469.253370165689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,2003,306028.3114456754,0,0.295347535982728,0,14.867361554187482,1107.6793004133356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,2004,306136.7177564284,0,0.295347535982728,0,14.867361554187482,999.2729896603222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,2005,306303.30778288376,0,0,0,13.936977454703992,824.7612547049893,0,0,0,0,9.147440135478972,0,0,0,0,0,0,0,0,0,0
832,2006,306382.4119504031,0,0,0,15.589258619826978,740.3430921818963,0,0,0,0,12.809153974056244,0,0,0,0,0,0,0,0,0,0
832,2007,306455.08160167746,0,0,0,16.85394189624185,666.4087576311449,0,0,0,0,12.809153974056244,0,0,0,0,0,0,0,0,0,0
832,2008,306540.9378959712,0,0,13.44468716531992,15.58215708402986,576.0412724386988,0,0,0,0,5.147442519664764,0,0,0,0,0,0,0,0,0,0
832,2009,306537.97293497407,0,15.44468716531992,0,14.819089361709302,581.9739530503211,0,0,0,0,0.9427906274795532,0,0,0,0,0,0,0,0,0,0
832,2010,306525.1511436268,0,13.44468716531992,0,13.81932110456819,598.7383032822545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,2011,306565.13940671855,0,13.44468716531992,0,13.166808196586317,559.4025530984654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,2012,306558.5232839167,0,0,0,13.12339652447099,570.8308238529353,0,0,0,0,8.67595088481903,0,0,0,0,0,0,0,0,0,0
832,2013,306581.7949237947,0,0,0,11.891112157386488,548.7914683419913,0,0,0,0,8.67595088481903,0,0,0,0,0,0,0,0,0,0
832,2014,306583.0732635085,0,0,0,11.891112157386488,555.4497761625498,0,0,0,0,0.7393033504486084,0,0,0,0,0,0,0,0,0,0
