id_registry,year,Forest Formation,Floodable Forest (beta),Wetland,Grassland,Pasture,"River, Lake and Ocean",Other Temporary Crops,Savanna Formation,Mining,Rocky Outcrop,Forest Plantation,Mosaic of Uses,Other non Vegetated Areas,Sugar cane,Urban Area,Soybean,Palm Oil (beta),Not_Observed,Mangrove
1094,2000,670637.1048171234,381451.2446941785,6.6284346748143435,6,0,1295.0582848272634,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,2001,670644.7078055062,381486.09389961796,6.6284346748143435,6,0,1252.6060910050173,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,2002,670648.8870698318,381434.72118651494,7.6284346748143435,4,0,1300.799539782357,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,2003,670661.8166425187,381563.8218235072,14.673183895647526,6,0,1149.7245808823964,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,2004,670659.6066137819,381585.56414297223,19.923090325668454,6,0,1124.9423837241948,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,2005,670657.4295199862,381550.6367284009,13.218910299241543,3,0,1171.7510721176686,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,2006,670658.9789350353,381522.3793369488,31.488567520398647,0,0,1183.1893912994883,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,2007,670646.9898861067,381590.669060448,16.628434674814343,0,0,1141.7488495745456,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,2008,670635.2422391925,381669.9794905022,34.62843467481434,1,14,1041.1860664343803,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,2009,670570.5336712567,381563.07265381695,81.38330785263679,10,103.29836640646681,1067.748231471097,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,2010,670535.6832578046,381521.6997523343,65.96055334806442,10,178.2983664064668,1084.3943009106324,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,2011,670528.5141547835,381590.4021031908,14.903288738802075,8,203,1051.2166840909513,0,0,0,0,0,0,0,0,0,0,0,0,0
