id_registry,year,Forest,Non_Forest_Natural,Farming,Non_vegetated_area,Water,Not_Observed
1094,2000,3523963.6038840367,3542.9685949817285,21,0,8455.14338330814,0
1094,2001,3524338.7240707595,3541.401673264998,13,0,8089.590118301893,0
1094,2002,3524290.6612715693,3591.240968012913,10,0,8090.813622744444,0
1094,2003,3524515.6201433083,3595.2145746226524,15,0,7856.881144394846,0
1094,2004,3524500.870670308,3580.2201570516554,20,0,7881.6250349667425,0
1094,2005,3524421.430617069,3569.94933498092,38,0,7953.335910276698,0
1094,2006,3524235.634389404,3771.049512690599,147,0,7829.031960231706,0
1094,2007,3523802.9766550893,3657.9032004016553,422,0,8099.8360068354505,0
1094,2008,3523025.5590390125,3859.379451529203,1353.2858245726675,0,7744.491547212641,0
1094,2009,3522590.5078383065,4006.4847821952353,1769.5841909791343,0,7616.139050845063,0
1094,2010,3522724.9131385833,4019.777929686672,1544.2983664064668,0,7693.726427649948,0
1094,2011,3523567.027732256,3729.1405737751265,1075,0,7611.547556295474,0
1094,2012,3523798.068993414,3674.661610008734,917,0,7592.985258903893,0
1094,2013,3524699.4286946044,3792.1459555612746,661,0,6830.141212160817,0
1094,2014,3524948.7352679535,3705.157409519514,501,0,6827.823184853474,0
1094,2015,3524854.5732351085,3650.8316258749073,495.0000000203727,0,6982.311001322046,0
1094,2016,3524612.4461251386,3711.836103140082,960.138532152283,0,6698.2951018960075,0
1094,2017,3524473.2597760046,3675.6184407817823,1261.0987048218958,0,6572.738940718223,0
1094,2018,3524258.391040492,3772.126734724672,1500.9080653857673,0,6451.290021724154,0
1094,2019,3524189.367145619,3728.6118880591202,1622.5341993347974,0,6442.202629313693,0
1094,2020,3523548.3069486413,3823.3118430263244,2342.942963369307,0,6268.154107289062,0
1094,2021,3523162.7779491264,4200.93520034831,2598.942963369307,0,6020.059749482334,0
1094,2022,3521501.5598701676,3884.5094831224633,3352.1335294889286,0,7244.512979547847,0
1112,2000,8807969.445388524,12074.910671876194,36823.70061436569,425.97820836600295,43738.89757348167,0
