id_registry,year,Forest Formation,Floodable Forest (beta),Wetland,Pasture,"River, Lake and Ocean",Grassland,Savanna Formation,Urban Area,Not_Observed,Other Temporary Crops,Mining,Rocky Outcrop,Forest Plantation,Mosaic of Uses,Sugar cane,Other non Vegetated Areas,Soybean,Palm Oil (beta)
1094,2000,2269833.4831785,1254130.1207055366,3439.9685949817285,21,8455.14338330814,103,0,0,0,0,0,0,0,0,0,0,0,0
1094,2001,2269949.311872329,1254389.4121984306,3436.401673264998,13,8089.590118301893,105,0,0,0,0,0,0,0,0,0,0,0,0
1094,2002,2269962.777917485,1254327.8833540839,3494.240968012913,10,8090.813622744444,97,0,0,0,0,0,0,0,0,0,0,0,0
1094,2003,2270018.1468693973,1254497.4732739113,3506.2145746226524,15,7856.881144394846,89,0,0,0,0,0,0,0,0,0,0,0,0
1094,2004,2270028.4423509724,1254472.4283193354,3564.2201570516554,20,7881.6250349667425,16,0,0,0,0,0,0,0,0,0,0,0,0
1094,2005,2269991.500223323,1254429.930393746,3530.2239142041653,38,7953.335910276698,39.72542077675462,0,0,0,0,0,0,0,0,0,0,0,0
1094,2006,2269840.560439385,1254395.073950019,3707.6801426137936,147,7829.031960231706,63.36937007680535,0,0,0,0,0,0,0,0,0,0,0,0
1094,2007,2269589.384395029,1254213.5922600604,3587.8434569637393,422,8099.8360068354505,70.05974343791604,0,0,0,0,0,0,0,0,0,0,0,0
1094,2008,2269129.418654451,1253896.1403845611,3688.379451529203,1353.2858245726675,7744.491547212641,171,0,0,0,0,0,0,0,0,0,0,0,0
1094,2009,2268943.4915394434,1253647.016298863,3814.4847821952353,1769.5841909791343,7616.139050845063,192,0,0,0,0,0,0,0,0,0,0,0,0
1094,2010,2269004.2871646266,1253720.6259739567,3962.777929686672,1544.2983664064668,7693.726427649948,57,0,0,0,0,0,0,0,0,0,0,0,0
1094,2011,2269351.486112536,1254215.5416197197,3709.1405737751265,1075,7611.547556295474,20,0,0,0,0,0,0,0,0,0,0,0,0
1094,2012,2269636.6957648927,1254161.373228521,3654.661610008734,917,7592.985258903893,20,0,0,0,0,0,0,0,0,0,0,0,0
1094,2013,2270165.341706874,1254534.0869877306,3614.0073225887827,661,6830.141212160817,178.1386329724919,0,0,0,0,0,0,0,0,0,0,0,0
1094,2014,2270217.9375337767,1254730.7977341767,3351.5817275568593,501,6827.823184853474,353.5756819626549,0,0,0,0,0,0,0,0,0,0,0,0
1094,2015,2270125.6679972378,1254727.905237871,3104.035149805186,495.0000000203727,6982.311001322046,546.7964760697214,1,0,0,0,0,0,0,0,0,0,0,0
1094,2016,2270129.616858867,1254481.8292662713,2905.3479544321854,960.138532152283,6698.2951018960075,806.4881487078965,1,0,0,0,0,0,0,0,0,0,0,0
1094,2017,2270069.1412652438,1254397.1185107606,2768.6003108514165,1261.0987048218958,6572.738940718223,907.0181299303658,7,0,0,0,0,0,0,0,0,0,0,0
1094,2018,2270069.389859673,1254183.0011808188,3205.2494209353426,1500.9080653857673,6451.290021724154,566.8773137893295,6,0,0,0,0,0,0,0,0,0,0,0
1094,2019,2269940.8006720357,1254248.5664735832,3437.1003832992246,1622.5341993347974,6442.202629313693,291.5115047598956,0,0,0,0,0,0,0,0,0,0,0,0
1094,2020,2269318.531236856,1254228.7757117858,3636.142674140527,2342.942963369307,6268.154107289062,187.1691688857973,1,0,0,0,0,0,0,0,0,0,0,0
1094,2021,2269021.6014265567,1254140.1765225697,4096.93520034831,2598.942963369307,6020.059749482334,104,1,0,0,0,0,0,0,0,0,0,0,0
1094,2022,2267937.900244803,1253541.6596253642,3589.5209333428284,3352.1335294889286,7244.512979547847,294.9885497796349,22,0,0,0,0,0,0,0,0,0,0,0
1112,2000,8789767.11811777,18202.327270753693,6681.918788949045,36823.70061436569,43738.89757348167,5392.99188292715,0,425.97820836600295,0,0,0,0,0,0,0,0,0,0
1112,2001,8789385.06098401,18810.25612887291,8992.018209024205,37690.775602288726,38978.80753896524,6658.6217528070065,0,517.3922406454803,0,0,0,0,0,0,0,0,0,0
1112,2002,8785468.959214615,19060.950611641474,8683.43085340903,40418.909098826654,39455.88796484763,7438.7570484338385,0,506.03766483980144,0,0,0,0,0,0,0,0,0,0
1112,2003,8784166.047172049,19043.284795222768,7097.900253821979,40508.698576900795,42163.71497551267,7536.56765104691,0,516.7190320582959,0,0,0,0,0,0,0,0,0,0
1112,2004,8783481.86314184,18959.081453686988,9771.563270903316,41141.821879097755,39599.54902708404,7549.578921275796,0,529.4747627262623,0,0,0,0,0,0,0,0,0,0
1112,2005,8779450.696585163,19022.794433684787,9278.585419215686,45927.454089616906,38455.14529187891,8304.14359298558,0,594.1130440689521,0,0,0,0,0,0,0,0,0,0
1112,2006,8776551.561273867,19211.362476014405,8873.208315427328,48473.62805607518,37821.15479333042,9471.930892734816,0,630.0866491652923,0,0,0,0,0,0,0,0,0,0
1112,2007,8771853.2360892,19317.736879253807,10675.806736472668,51826.54729687375,37579.27949306172,9137.18545359419,0,643.140508157936,0,0,0,0,0,0,0,0,0,0
1112,2008,8764219.223584041,19272.318814270762,9018.605387739368,57819.28869834109,40268.21225877221,9840.831666823304,0,594.452046626051,0,0,0,0,0,0,0,0,0,0
1112,2009,8750980.625748996,19299.080275336495,8982.626079609448,70175.57865788878,40730.213860660275,10268.15071944123,0,596.6571146815913,0,0,0,0,0,0,0,0,0,0
1112,2010,8737798.852744607,19352.890705609676,11146.47402497353,83174.13879219066,38442.7537028096,10471.28747039449,0,646.5350160279268,0,0,0,0,0,0,0,0,0,0
1112,2011,8730498.547164785,19325.76152022871,11905.821944555937,88759.46696029445,38668.5818979985,11226.483354745682,0,648.2696140051776,0,0,0,0,0,0,0,0,0,0
1112,2012,8723299.979210153,19357.844155814786,16383.863405579004,94204.42350220156,36920.752513708256,10186.255731257314,0,679.8139379003042,0,0,0,0,0,0,0,0,0,0
1112,2013,8710469.912438285,19132.177501129783,10594.975015331756,109559.31184076978,40007.51327510889,10523.18470918794,0,745.8576768000567,0,0,0,0,0,0,0,0,0,0
1112,2014,8698538.234098865,19097.11951853047,9240.49211773779,122074.36145825549,40323.47384716045,10939.809434676772,0,819.4419813889036,0,0,0,0,0,0,0,0,0,0
1112,2015,8688359.483022658,19291.4764700743,10548.533924437155,130346.06785687697,40446.4304499898,11191.376413679993,0,849.5643188973845,0,0,0,0,0,0,0,0,0,0
1112,2016,8678384.43346381,19509.777451712172,14905.463385081874,142017.03752310248,33723.76342324691,11627.552032218387,0,864.9051774412583,0,0,0,0,0,0,0,0,0,0
1112,2017,8678245.870623266,19428.0006628247,9963.473672944076,141712.55453525725,39028.85166108954,11808.827493502247,0,845.3538077283956,0,0,0,0,0,0,0,0,0,0
1112,2018,8681818.88483415,19834.957870162547,12674.136973306275,136198.74129909324,34443.6969248635,15203.252263088722,0,859.2622919489004,0,0,0,0,0,0,0,0,0,0
1112,2019,8679080.760234874,19881.985649423197,11626.717293765483,136908.44233553667,37745.14188979204,14935.697197851601,0,854.1878553698845,0,0,0,0,0,0,0,0,0,0
1112,2020,8673179.67424488,20111.985754805635,13470.281994955483,142477.42258001276,35196.92602797148,15708.1800205627,12.321155548095703,876.1406778764285,0,0,0,0,0,0,0,0,0,0
